Vernier Format 2
robotVelData.cmbl 11/14/2019 22:07:14 .
Data Set
X	Y1	W	Z2	Y2	Z1
x	y1	w	z2	y2	z1
					

9530	-54.4333	9530	-64.8	-55.5333	-64.0333
9540	-53.8333	9540	-62.3	-57.3	-64.0667
9550	-55.5333	9550	-62.3	-59.4333	-63.9667
9560	-56.8667	9560	-62.2667	-58.4333	-65.8667
9570	-57.0333	9570	-63.1	-60.5667	-62.2
9580	-60.7333	9580	-63.5	-61.7333	-62.2
9590	-61.9333	9590	-63.0667	-60.8667	-62.8
9600	-61.9667	9600	-63.4333	-62.7	-62.8
9610	-63.8667	9610	-65.4	-63.4	-62.0333
9620	-66.1333	9620	-63.3	-63.4	-62.6
9630	-66.1333	9630	-62.9	-64.1333	-65
9640	-67	9640	-62.9	-67.3	-64.5667
9650	-66.3333	9650	-63.6667	-70.6667	-62.5
9660	-67.8333	9660	-64.5	-68.6333	-63.7667
9670	-67.3333	9670	-64.8333	-69.3333	-64.3667
9680	-67.2667	9680	-63.7333	-70.1667	-63.0333
9690	-69.6667	9690	-62.5667	-66.3667	-63.9
9700	-69.2667	9700	-61.6667	-67.2	-64.8
9710	-69.4333	9710	-61.4	-67.1	-63.2
9720	-70.2	9720	-60.7667	-65.9333	-63.5667
9730	-67.7667	9730	-62.9	-65.1	-64.2333
9740	-66.7333	9740	-63.2	-68.7333	-63.6
9750	-66.2	9750	-63.9	-65.7	-63.1
9760	-64.4333	9760	-64.0667	-65.8333	-64.9
9770	-62.6667	9770	-64.2	-65.3	-63.6667
9780	-64.5	9780	-63.9333	-64.3	-62.1333
9790	-64.1333	9790	-65.3333	-61.7333	-63.0333
9800	-62.5667	9800	-65.4333	-63.1667	-64.0667
9810	-63.9	9810	-64.2	-64.0667	-62.8
9820	-63.0667	9820	-62.1667	-62.9333	-63.2
9830	-63.1667	9830	-62.2667	-61.4333	-63.6333
9840	-62.8	9840	-62.5	-63.4333	-63.8
9850	-63.4	9850	-61.8667	-62.1667	-62.1667
9860	-63.5333	9860	-63	-63.5	-62.9
9870	-63.3333	9870	-64.3333	-63.3667	-62.8
9880	-66.0333	9880	-64.4333	-63.3667	-63.7
9890	-66.0333	9890	-63.6667	-63.9333	-64.6667
9900	-65.0333	9900	-65.0333	-64.5333	-63.8
9910	-64.0333	9910	-63.4333	-64.4	-63.0333
9920	-63.3667	9920	-62.9	-61.2333	-63.1333
9930	-62.9	9930	-61.8667	-62.4	-64.1667
